Source,Target,Weight
Organizational conflict,Workplace health promotion,0.034482758620689655
Organizational conflict,Organizational diagnostics,0.034482758620689655
Organizational conflict,Company,0.034482758620689655
Organizational conflict,Virtual workplace,0.034482758620689655
Organizational conflict,Trade union,0.034482758620689655
Organizational conflict,Chief human resources officer,0.034482758620689655
Organizational conflict,Sole proprietorship,0.034482758620689655
American Management Association,Human resources management,0.5
American Management Association,Commercial management,0.5
Positive psychology in the workplace,Turnover (employment),0.09090909090909091
Positive psychology in the workplace,Occupational safety and health,0.09090909090909091
Positive psychology in the workplace,Workplace politics,0.09090909090909091
Positive psychology in the workplace,Probation (workplace),0.09090909090909091
Positive psychology in the workplace,Workplace health promotion,0.09090909090909091
Positive psychology in the workplace,Job Demands-Resources model,0.09090909090909091
Positive psychology in the workplace,Work engagement,0.09090909090909091
Positive psychology in the workplace,Virtual workplace,0.09090909090909091
Positive psychology in the workplace,Trade union,0.09090909090909091
Positive psychology in the workplace,Employee retention,0.09090909090909091
Positive psychology in the workplace,Emotional intelligence,0.09090909090909091
Cellular organizational structure,Organization workshop,0.2
Cellular organizational structure,Organizational engineering,0.2
Cellular organizational structure,Organization development,0.2
Cellular organizational structure,Information management,0.2
Cellular organizational structure,Interpersonal communication,0.2
Management science,Management consulting,0.25
Management science,Information management,0.25
Management science,Statistics,0.25
Management science,Innovation management,0.25
Manpower,Mergers and acquisitions,0.047619047619047616
Manpower,Economy,0.047619047619047616
Manpower,Talent management,0.047619047619047616
Manpower,Business intelligence,0.047619047619047616
Manpower,Compensation and benefits,0.047619047619047616
Manpower,Organizational effectiveness,0.047619047619047616
Manpower,Capability management in business,0.047619047619047616
Manpower,Organizational engineering,0.047619047619047616
Manpower,Performance management,0.047619047619047616
Manpower,Organization development,0.047619047619047616
Manpower,Personnel Administration,0.047619047619047616
Manpower,Business process management,0.047619047619047616
Manpower,Corporation,0.047619047619047616
Manpower,Industrial and organizational psychology,0.047619047619047616
Manpower,Innovation management,0.047619047619047616
Manpower,Employee benefits,0.047619047619047616
Manpower,Systems management,0.047619047619047616
Manpower,Business statistics,0.047619047619047616
Manpower,Sole proprietorship,0.047619047619047616
Manpower,Commercial management,0.047619047619047616
